alpha,Average Path Length
0.5,674.3400000000001
0.75,706.6194000000002
1.0,773.4355
1.25,823.7477000000002
1.5,864.9195000000003
1.75,892.8420999999995
2.0,906.9752000000001
2.25,923.8071000000003
2.5,932.9699
2.75,954.1870000000001
3.0,966.5153999999999
